,Average
1256,166.8779349829387
1257,203.9214262535275
1258,164.37787187644506
1259,179.42208242204612
1260,178.78492271218772
1261,170.30524433265145
1262,166.17080163078973
1263,149.02517186491087
1264,190.07073810762103
1265,158.03243343372793
1266,163.4103745580693
1267,179.51531158041706
1268,177.15654420486968
1269,98.14603795701163
1270,76.31718304037305
1271,149.02311656508118
1272,153.0396946282018
1273,143.11250310273672
1274,143.09720889557155
1275,179.32794697346856
1276,84.56908533916838
1277,88.1215931970511
1278,94.41660949133981
1279,100.93270209738009
1280,126.15153306360654
1281,148.31241851816318
1282,132.59598496827624
1283,129.06679605770682
1284,132.78316116857317
1285,106.69891652092915
1286,123.26704910729079
1287,100.9596153815287
1288,125.06399755505466
1289,146.45181370592232
1290,145.78573658873842
1291,129.88729923084477
1292,122.45147151272973
1293,108.11472875685038
1294,112.24067663274691
1295,143.75890031043852
1296,149.2878747493349
1297,78.01637140688634
1298,92.64710088548439
1299,102.20214277756679
1300,125.60153886667172
1301,167.40156040342455
1302,122.13119703668949
1303,127.0114157651215
1304,130.6618596232096
1305,170.4705667402254
1306,82.6500863715149
1307,97.58130589016879
1308,125.60153903271971
1309,110.71592784385466
1310,126.0677699831297
1311,128.87446410748228
1312,130.66207174408652
1313,132.85244477125264
1314,141.6613573427439
1315,102.53622252366615
1316,125.69137972296451
1317,119.80592856978691
1318,126.3519673528813
1319,126.26814417129337
1320,130.5367677868372
1321,114.80378611955481
1322,124.95621280841401
1323,89.36504231786526
1324,125.93797760589548
1325,164.61620711145196
1326,165.65209515425278
1327,133.4509913850351
1328,130.14978116510133
1329,127.59126726608156
1330,94.22749106975434
1331,128.4072748066242
1332,125.63561089420288
1333,103.98302741725176
1334,170.0327793921279
1335,144.5312786127181
1336,130.47421622782846
1337,102.5940903210749
1338,86.68026672171969
1339,127.33056721575524
1340,124.04905422647607
1341,127.51680698665712
1342,122.86051394380202
1343,89.59135715471098
1344,159.28765338555917
1345,102.5940903210749
1346,117.9878762327379
1347,129.56042658931943
1348,124.68227147151042
1349,127.51680698665712
1350,107.82755828313122
1351,126.58997757505983
1352,131.44536562446763
1353,102.61637231172206
1354,126.0041041069342
